word,han,ham,hun,hende
betyde,-1.6624375010435517,0.8112235553812486,0.0,1.5064737861379724
betyder,-0.5651065289347348,0.8685364030880086,-0.2773580605640653,-0.07034389117973913
betydet,0.0,2.0369578514886975,0.0,3.425355262805367
betød,0.7344797765668422,2.6327766880880805,1.3937918013699948,3.769859671123844
beundre,0.0,4.275004423345172,0.0,4.410638866166473
beundrede,2.271346996166107,3.3587136914710167,0.0,0.0
beundrer,1.5781998156061616,2.6655665109110713,0.0,0.0
beundret,1.5294096514367297,0.0,0.0,0.0
bevare,0.2644761473211067,0.43555211075186123,0.0,0.0
bevarede,2.7821726199320977,0.0,0.0,0.0
bevarer,1.3451059334387838,0.0,0.0,3.820870040060363
bevaret,0.0,2.6408738983207,2.9059664083788883,0.0
bevidne,0.4467977041150611,2.6327766880880805,2.492404090038104,0.0
bevidnede,3.0698546923838785,3.464074207128843,0.0,0.0
bevidner,2.5815019244699466,0.0,0.0,0.0
bevirkede,3.1876377280402624,0.0,0.0,0.0
bevise,0.24319874887382192,0.0,0.0,0.0
beviser,0.01480584167346818,0.0,0.0,0.0
bevist,1.241727578984949,0.0,0.0,0.0
beviste,0.0,3.3587136914710167,0.0,0.0
bevæge,-0.05104072412411834,1.547151594946782,0.0,2.0192582743892964
bevægede,1.224028001885548,2.3113946971904578,3.269634387808591,0.0
bevæger,0.9753752733395021,1.051141056965932,0.0,0.0
bevæges,1.740718745103937,2.422620332300682,0.0,0.0
bevæget,0.0,1.1180040021950584,2.076243692813192,0.0
bibragte,0.0,0.0,0.0,7.742843376341677
bider,1.3684792846240927,3.148993160488948,0.0,0.0
bidrage,0.0,0.0,2.639856821181235,0.0
bidrager,0.0,0.0,2.8583383593896334,0.0
bidrog,2.0890254393721523,0.0,0.0,0.0
bidt,0.0,0.0,3.1230309136167156,0.0
bifaldt,2.7821726199320977,0.0,0.0,0.0
bilde,0.0,0.8991248496673063,0.0,0.0
bilder,2.0208876342049344,0.0,2.1946918432263858,0.0
billedligt,-0.1174157930689909,0.0,0.0,0.0
binde,0.0,2.650677898417321,0.0,2.42963739729989
binder,0.83032773535697,2.4032022464435805,0.0,0.0
bindes,0.7027310782522619,3.399535685991272,0.0,0.0
bl.a,0.0,0.0,0.0,0.0
blandede,1.7117312082306844,0.0,0.0,0.0
blander,1.6725104950774032,0.0,2.1086789685663456,0.0
blev,2.219767076192928,1.2196600581207375,2.199177147186156,1.2109521922133006
blevet,-0.40617386384684906,0.5735621672656951,0.5202009462053485,0.6626765944521036
blikket,-1.3662391635602786,0.0,0.0,0.0
blinke,1.0774245276936725,0.0,0.0,0.0
blir,0.17948293448771407,0.0,0.0,3.3483942216692384
bliv,-0.4662620071776474,1.3142518686872076,0.0,0.0
blive,-0.8921273844186813,0.7673085598929379,-0.2505149367149296,0.7186392847162932
bliver,1.281504191592724,0.7316029872223134,1.7140862894504396,0.42744757939437567
blod,-2.4569253869559677,0.0,0.0,0.0
blomstre,-0.5198181116466097,0.5675485836583001,0.0,0.0
blomstrede,0.0,2.195562881665336,0.0,0.0
blomstrer,0.0,1.9000986687715,0.0,0.0
blænde,0.0,3.096349427003526,0.0,0.0
blændede,0.0,3.263403511666692,0.0,0.0
